Name	AeMean	AeRank	In	InRank	Extent
mh20KK‐016	2.296	84	0.682	1	259
mh17KK‐014	1.936	136	0.660	2	37
mh05KK‐120	2.002	127	0.539	3	276
mh02KK‐139	1.575	161	0.522	4	54
mh05KK‐121	2.549	62	0.468	5	281
mh02KK‐138	3.338	27	0.462	6	249
mh08KK‐039	3.937	12	0.454	7	213
mh05KK‐058	2.067	118	0.450	8	303
mh09KK‐020	2.489	66	0.432	9	128
mh09KK‐161	1.818	149	0.410	10	104
mh14KK‐101	1.666	158	0.403	11	96
mh16KK‐062	2.296	85	0.403	12	298
mh02KK‐003	1.972	130	0.393	13	125
mh02KK‐134	4.445	6	0.389	14	104
mh16KK‐053	1.403	172	0.387	15	12
mh01KK‐001	3.013	33	0.384	16	260
mh21KK‐324	3.857	14	0.382	17	159
mh09KK‐153	2.980	34	0.374	18	113
mh05KK‐170	5.244	2	0.374	19	137
mh13KK‐218	6.010	1	0.367	20	146
mh10KK‐169	4.656	3	0.354	21	292
mh15KK‐104	2.196	99	0.348	22	138
mh22KK‐069	1.933	137	0.341	23	79
mh10KK‐170	2.864	43	0.338	24	190
mh10KK‐163	4.494	5	0.335	25	260
mh04KK‐030	3.955	11	0.335	26	115
mh06KK‐031	1.463	167	0.329	27	159
mh11KK‐103	2.323	79	0.324	28	262
mh19KK‐299	3.834	15	0.318	29	154
mh21KK‐316	2.949	37	0.318	30	135
mh02KK‐131	1.893	140	0.317	31	87
mh15KK‐068	1.791	153	0.316	32	217
mh16KK‐049	4.206	7	0.314	33	174
mh05KK‐122	1.924	138	0.313	34	50
mh16KK‐302	2.949	36	0.312	35	114
mh18KK‐293	3.402	23	0.307	36	83
mh19KK‐301	1.817	150	0.303	37	64
mh03KK‐216	2.067	119	0.303	38	6
mh01KK‐172	2.683	50	0.300	39	226
mh01KK‐117	3.889	13	0.293	40	187
mh03KK‐020	2.008	126	0.293	41	220
mh01KK‐135	2.010	125	0.287	42	289
mh01KK‐002	2.538	64	0.286	43	18
mh05KK‐124	2.210	96	0.285	44	67
mh21KK‐313	2.899	40	0.284	45	173
mh12KK‐042	1.946	134	0.283	46	175
mh01KK‐106	2.511	65	0.279	47	171
mh04KK‐013	3.671	20	0.277	48	201
mh15KK‐069	2.090	114	0.273	49	88
mh11KK‐180	3.982	8	0.268	50	194
